word,example
"die Technik, -en","1. Ich verstehe nicht viel von Technik. 2. Um die Aufgaben zu lösen, brauchst du eine gute Arbeitstechnik."
technisch,1. Es gab ein technisches Problem. 2. Sind Sie technisch interessiert?
"die Technologie, -n",Große Fortschritte gab es in der Technologie.
"der Tee, -s",1. Bitte einen Tee mit Zitrone. 2. Was kostet dieser Tee hier?
Tee ziehen lassen,Diesen Tee sollte man 10 Minuten ziehen lassen.
"teilen, teilt, teilte, hat geteilt",1. Mein Mann und ich teilen uns die Arbeit. 2. Wollen wir uns eine Pizza teilen? 3. Was machst du mit dem Gewinn? – Ich teile ihn mit meiner Familie.
"das Teil, -e",Dieses Teil müssen wir erst bestellen.
"der Teil, -e",1. Was steht in dem Brief? Ich habe den ersten Teil nicht verstanden 2. Der Film hat zwei Teile. Heute kommt Teil 1. 3. Gefällt dir der neue Job? – Nur zum Teil.
die Teilzeit,Ich arbeite im Moment nur Teilzeit.
"teilnehmen, nimmt teil, nahm teil, hat teilgenommen",Leider konnte ich an dem Kurs nicht regelmäßig teilnehmen.
"die Teilnahme, -n",Die Teilnahme am Gewinnspiel ist kostenlos.
"der Teilnehmer, die Teilnehmerin, -nen",Die Teilnehmerinnen aus unserem Kurs kommen aus verschiedenen Ländern.
"telefonieren, telefoniert, telefonierte, hat telefoniert",1. Ich muss kurz telefonieren. 2. Mein Mann telefoniert gerade. Können Sie später noch einmal anrufen?
"das Telefon, -e",1. Darf ich bitte Ihr Telefon benutzen?
"der Teller, -",1. Stell bitte schon mal die Teller auf den Tisch! 2. Willst du noch einen Teller Suppe?
"die Temperatur, -en",Die Temperaturen steigen heute um 10 Grad.
"das Tempo, -s","1. Hier darfst du nur Tempo 30 fahren. 2. Achtung, hier ist eine Tempo-30-Zone!"
das Tennis,Ich spiele gern Tennis.
"der Teppich, -e",1. Ich habe mir einen neuen Teppich gekauft. 2. Habt ihr in eurer neuen Wohnung Teppich oder einen Holzfußboden?
"der Termin, -e",Als Termin schlage ich den 3. Mai vor.
"der Terminkalender, -",Hast du unser Treffen schon in deinen Terminkalender eingetragen?
"die Terrasse, -n",Setzen wir uns auf die Terrasse!
"testen, testet, testete, hat getestet",Testen Sie unsere Angebote kostenlos.
"der Test, -s",Ich bin ganz sicher: Du wirst den Test schaffen.
teuer,Ich finde das Geschäft nicht teuer.
"der Text, -e",Lesen Sie den Text.
"das Theater, -",Wir gehen nächste Woche ins Theater.
"das Thema, Themen",Wir haben im Kurs viel über das Thema Umwelt gesprochen.
theoretisch,Ich habe die theoretische Prüfung bestanden. Nach der praktischen habe ich den Führerschein.
"die Theorie, -n",Das ist die Theorie. In der Praxis ist vieles ganz anders.
"die Therapie, -n",Die Therapie hat geholfen. Es geht mir schon viel besser.
"das Ticket, -s",1. Wir müssen die Tickets für unseren Flug ausdrucken. 2. Ich kaufe heute Tickets für das Konzert.
tief,"1. Vorsicht, Kinder! Das Wasser ist hier sehr tief. 2. Der Schrank ist drei Meter breit und 60 Zentimeter tief. 3. Bitte jetzt tief einatmen!"
"das Tier, -e",Er mag Tiere sehr und geht darum oft in den Zoo.
"das Haustier, -e","Hat deine Familie ein Haustier? − Ja, wir haben einen Hund."
"der Tierpark, -s",Wollen wir am Samstag mit den Kindern in den Tierpark gehen?
"der Tipp, -s",Kannst du mir einen Tipp geben? Wo finde ich billige Möbel?
"tippen, tippt, tippte, hat getippt",Wie schnell kannst du tippen?
"der Tisch, -e",Das Essen steht schon auf dem Tisch.
"der Titel, -","1. Wie heißt der Film? – Ich weiß den Titel nicht mehr. 2. Haben Sie einen Titel? – Ja, Doktor."
"die Tochter, ¨-",Das ist meine Tochter Katharina.
der Tod,Ich habe ihn vor seinem Tod noch einmal gesehen.
tödlich,Dieses Gift kann für den Menschen tödlich sein.
"die Toilette, -n","Wo ist die Toilette, bitte?"
tolerant,Die Nachbarn hören oft laut Musik. Wir müssen sehr tolerant sein.
toll,1. Ich habe mir ein tolles Kleid gekauft. 2. Unser Urlaub war toll.
"die Tomate, -n → A: Paradeiser",Kauf bitte noch Tomaten auf dem Markt.
"der Topf, ¨-e (D, A) → CH: Pfanne",1. Dieses Jahr haben wir keine Töpfe mit Blumen auf dem Balkon. 2. Hast du keinen größeren Topf? Ich möchte Kartoffeln kochen. → (CH: Pfanne)
"das Tor, -e",1. Hinter dem Tor geht es zur Fabrik. 2. Die Mannschaft konnte vier Tore schießen.
"die Torte, -n",Zum Geburtstag backe ich dir eine Torte.
tot,Meine Großeltern sind schon lange tot.
"der Tote, -n","Bei dem Unfall gab es zwei Tote. die Tote, -n"
total,Der Film war total langweilig.
der Tourismus,In dieser Gegend gibt es viel Tourismus.
"der Tourist, -en die Touristin, -nen",Es kommen immer mehr Touristen in unsere Stadt.
"die Tradition, -en",Eine große Hochzeit mit vielen Leuten ist bei uns Tradition.
traditionell,Ich mag die traditionelle Küche.
"tragen, trägt, trug, hat getragen",1. Lass mich den Koffer tragen. Der ist zu schwer für dich. 2. Mein Bruder trägt eine Brille. 3. Die Kosten trägt die Krankenkasse.
"trainieren, trainiert, trainierte, hat trainiert",Wir trainieren einmal pro Woche im Sportverein.
"der Trainer, -","Ich finde unseren Trainer sehr nett. die Trainerin, -nen"
"das Training, -s",1. Jeden Dienstag ist Training. 2. Ich gehe jede Woche zum Training.
"das Tram, -s → D, A: Straßenbahn",Fahren wir mit dem Tram oder dem Bus?
"die Träne, -n",Sie trocknet dem Kind die Tränen.
"transportieren, transportiert, transportierte, hat transportiert",Wie willst du die Möbel denn transportieren?
"der Transport, -e",Was kostet der Transport?
"träumen, träumt, träumte, hat geträumt",1. Ich habe schlecht geträumt. 2. Ich träume von einem großen Haus mit Garten.
"der Traum, ¨-e",Mein Traum ist ein eigenes Geschäft.
Traum-,Mein Traumberuf ist Feuerwehrmann.
traurig,1. Ich bin traurig. Ich darf nicht mitfahren. 2. Das war ein sehr trauriger Film.
"treffen, trifft, traf, hat getroffen",1. Wir treffen uns immer freitags. 2. Ich habe Petra zufällig in der Stadt getroffen.
"der Treffpunkt, -e",Unser Treffpunkt ist um 17 Uhr am Hauptbahnhof.
"treiben, treibt, trieb, hat getrieben",Welchen Sport treibst du?
"(sich) trennen, trennt, trennte, hat getrennt",1. Wir leben getrennt. 2. Meine Freundin und ihr Mann haben sich getrennt. 3. Wir müssen den Müll trennen. Das kommt zum Altpapier.
"die Trennung, -en","1. Die Trennung von der Familie war schwierig. 2. Meine Kollegin ist noch nicht geschieden, aber sie lebt in Trennung."
getrennt leben,Ich lebe getrennt von meiner Frau.
"die Treppe, -n (D, CH) → A: Stiege",1. Wo ist die Toilette? – Die Treppe hoch und dann links. 2. Meine Oma kann nicht gut Treppen steigen.
"das Treppenhaus, ¨-er (D,",Im Treppenhaus ist kein Licht. CH) → A: Stiegenhaus
"treten, tritt, trat, hat/ist getreten",1. Ich bin in ein Stück Glas getreten. 2. Au! Du hast mich getreten!
treu,Herr Maier ist ein treuer Kunde von uns.
"trinken, trinkt, trank, hat getrunken",Trinken Sie einen Tee mit uns?
"das Trinkgeld, -er",Ich habe dem Kellner zwei Euro Trinkgeld gegeben.
trocken,1. Die Wäsche ist noch nicht trocken. 2. Hoffentlich regnet es bald. Alles ist ganz trocken. 3. Bitte einen trockenen Wein.
"trocknen, trocknet, trocknete, hat/ist getrocknet",1. Ich habe mir die Haare getrocknet. 2. Die Farbe ist schnell getrocknet.
die Tropfen (Pl.),1. Hast du die Tropfen schon genommen? 2. Wegen der paar Regentropfen brauchst du doch keinen Schirm.
"das Trottoir, -s (CH) → Gehsteig (D, A)",Das Velofahren auf dem Trottoir ist nicht erlaubt.
trotz,Trotz Grippe bin ich zur Arbeit gegangen.
trotzdem,Es war ziemlich kalt. Trotzdem bin ich schwimmen gegangen.
"das Tuch, ¨-er",1. Wo hast du dieses schöne Tuch gekauft? 2. Die Handtücher sind im Schrank ganz oben. 3. Hast du ein Taschentuch für mich?
"tun, tut, tat, hat getan",1. Ich habe heute viel zu tun. 2. Was kann ich für Sie tun? 3. Ich habe zu viel Zucker in den Kaffee getan. 4. Es tut mir leid. Ich kann nicht kommen. 5. Der Arm tut mir weh. 6. Ich habe endlich mal ausgeschlafen. Das hat gut getan.
"die Tür, -en",Machen Sie bitte die Tür zu! Es zieht.
"der Turm, ¨-e","Kommen Sie auf den Turm, von hier sieht man die ganze Stadt."
"die Tüte, -n",Brauchen Sie eine Tüte für den Salat?
"der Typ, -en",1. Mein Nachbar ist ein netter Typ. 2. Was für ein Typ bist du? Was machst du gerne? 3. Kennen Sie sich mit den verschiedenen Typen aus? Auch mit meinem Auto?
typisch,"1. Im Hotel gab es typisch deutsches Essen. 2. Er kommt wieder zu spät, das ist typisch. 3. Diese Musik ist typisch für dieses Land."
"die U-Bahn, -en",Ich fahre mit der U-Bahn.
üben,Ich lerne gerade Gitarre spielen. Ich übe jeden Tag zwei Stunden.
"die Übung, -en",1. Diese Übung war sehr schwer. 2. Ich fahre nicht oft Auto. Mir fehlt die Übung.
über,"1. Die Müllers wohnen direkt über uns. 2. Pass bitte auf, wenn du über die Straße gehst. 3. Fahren Sie über Stuttgart oder über Würzburg? 4. Übers Wochenende fahren wir in die Berge. 5. Kinder über zehn Jahre müssen voll bezahlen. 6. Ich suche ein Buch über die deutsche Küche."
überall,"Ich habe überall gesucht, aber meine Brille ist weg."
"überfahren, überfährt, überfuhr, hat überfahren",Gestern hat ein Autofahrer einen Hund überfahren.
überhaupt,1. Die Suppe schmeckt mir überhaupt nicht. 2. Tut mir leid. Ich habe überhaupt keine Zeit. 3. Du willst mit meinem Auto fahren? Hast du überhaupt einen Führerschein?
"überholen, überholt, überholte, hat überholt",Hier dürfen Lkws nicht überholen.
"überlegen, überlegt, überlegte, hat überlegt","1. Ich kann mich nicht entscheiden. Ich muss mir das noch überlegen. 2. Ich habe mir überlegt, ein Auto zu kaufen."
übermorgen,Morgen kann ich nicht. Wir sehen uns übermorgen.
"übernachten, übernachtet, übernachtete, hat übernachtet",Wir haben auf dem Campingplatz übernachtet.
"die Übernachtung, -en",In diesem Hotel kostet die Übernachtung mit Frühstück 90 Euro.
"übernehmen, übernimmt, übernahm, hat übernommen.",Ich habe das Geschäft von meinem Vater übernommen.
"überprüfen, überprüft, überprüfte, hat überprüft","Bitte überprüfen Sie, ob Ihr Name richtig geschrieben ist."
"überqueren, überquert, überquerte, hat überquert",Bitte die Straße nur an der Ampel überqueren.
"überraschen, überrascht, überraschte, hat überrascht","Ich bin ganz überrascht, dass die Wohnung so billig ist."
"die Überraschung,-en","1. Ich habe eine Überraschung für dich. 2. Das ist ja eine Überraschung. Ich dachte, du bist im Urlaub."
"überreden, überredet, überredete, hat überredet","Zuerst wollte ich nicht, aber mein Bruder hat mich überredet, einen Englischkurs zu machen."
"die Überschrift, -en",1. Der Artikel erschien unter der folgenden Überschrift: „…“ 2. Die Überschrift passt überhaupt nicht zum Inhalt des Artikels.
"übersetzen, übersetzt, übersetzte, hat übersetzt",Können Sie mir bitte diesen Brief übersetzen?
"der Übersetzer, die Übersetzerin, -nen",Meine Tochter möchte als Übersetzerin arbeiten.
"die Übersetzung, -en",Die Übersetzung des Buches ist sehr gut.
"die Überstunde, -n",Ich muss heute Überstunden machen.
"übertreiben, übertreibt, übertrieb, hat übertrieben",Ein bisschen Sport ist gesund. Aber man sollte es nicht übertreiben.
"überweisen, überweist, überwies, hat überwiesen",1. Ich überweise dir das Geld. 2. Der Arzt hat mich ins Krankenhaus überwiesen.
"die Überweisung, - en",1. Sie können bar oder per Überweisung bezahlen. 2. Der Hausarzt hat mir eine Überweisung fürs Krankenhaus gegeben.
"(sich) überzeugen, überzeugt, überzeugte, hat überzeugt","1. Ihr Vorschlag überzeugt mich gar nicht. 2. Ich bin fest davon überzeugt, dass meine Entscheidung richtig ist."
"die Überzeugung, -en",Wie bist du zu dieser Überzeugung gekommen?
üblich,"In Deutschland ist es üblich, früh zu Abend zu essen."
übrig,Ist noch etwas zu essen übrig?
übrigens,"Übrigens, kennst du schon die neuen Nachbarn?"
"das Ufer, -",1. Er schwimmt ans Ufer zurück. 2. Am Seeufer ist es schön spazieren zu gehen.
"die Uhr, -en",1. Wie viel Uhr ist es? 2. Es ist vier Uhr. 3. Um wie viel Uhr müssen wir gehen? 4. Meine Uhr ist stehen geblieben.
um,1. Wir treffen uns um 8 Uhr. 2. Die Apotheke ist gleich um die Ecke. 3. Die Benzinpreise sind schon wieder um 3 % gestiegen.
"umarmen, umarmt, umarmte, hat umarmt",Lass dich zum Abschied umarmen.
um … zu,"Um gesund zu bleiben, musst du Sport machen und Gemüse essen."
"(sich) umdrehen, dreht um, drehte um, hat umgedreht",1. Dreh dich mal um. Da hinten liegt das Buch doch. 2. Dreh das Blatt um; die Lösung steht auf der Rückseite.
"die Umfrage, -n",Wir machen eine Umfrage zum Thema Umweltschutz.
"die Umgebung, -en",In der Umgebung von Berlin kann man schöne Ausflüge machen.
"umgehen, geht um, ging um, ist umgegangen",Er kann sehr gut mit Kindern umgehen.
umgekehrt,"Nein, umgekehrt: erst der Vorname, dann der Nachname."
"die Umleitung, -en",Es gibt wegen des Unfalls eine Umleitung.
umso,"1. Je früher wir dort sind, umso besser sind unsere Chancen auf einen guten Sitzplatz. 2. Ich kann dir nicht nur heute, sondern auch morgen helfen. – Umso besser!"
umsonst,"1. Ich musste nichts bezahlen. Die Reparatur war umsonst. 2. Nichts hat geholfen, es war alles"
"umsteigen, steigt um, stieg um, ist umgestiegen",In Ulm müssen Sie umsteigen.
"umtauschen, tauscht um, tauschte um, hat umgetauscht",1. Ich möchte diese Bluse umtauschen. Sie passt mir nicht. 2. Wo kann ich Geld umtauschen?
"der Umtausch, ¨-e",Ein Umtausch ist leider nicht möglich.
die Umwelt,Alte Autos sind ein Problem für die Umwelt.
der Umweltschutz,Das Land muss mehr Geld für Umweltschutz ausgeben.
"die Umweltverschmutzung, -en",Die Umweltverschmutzung nimmt weiter zu.
"umziehen, zieht um, zog um, ist umgezogen",Familie Meier ist letzten Monat umgezogen. Sie wohnen nicht mehr hier.
"der Umzug, ¨-e",Der Umzug ist nächste Woche.
"sich umziehen, zieht sich um, zog sich um, hat sich umgezogen","Bevor wir zur Party gehen, möchte ich mich umziehen."
un-,1. Der Verkäufer war sehr unfreundlich. 2. Dieses Geräusch ist mir unangenehm. 3. Er kam wie immer unpünktlich.
unbedingt,Ich muss unbedingt mit dir sprechen.
und,1. Ich habe heute und morgen frei. 2. Ich kaufe ein und mein Mann kocht.
"der Unfall, ¨-e",Ich hatte letzte Woche einen Unfall.
ungefähr,"Wie weit ist es bis zum Bahnhof? – Nicht weit, ungefähr zehn Minuten zu Fuß."
ungewöhnlich,"Ich finde diese Speise ungewöhnlich, aber sie schmeckt gut."
unglaublich,Es ist unglaublich. Schon wieder so ein Unglück.
"das Unglück, -e",Bei dem Unglück gab es viele Verletzte.
unheimlich,1. Ich mag dieses Haus nicht. Es sieht unheimlich aus. 2. Diese Person ist mir unheimlich. 3. Lass uns umkehren. Mir wird im Dunkeln unheimlich. 4. Die Prüfung war unheimlich schwer.
"die Uniform, -en","In der Schule, die sie besucht, trägt man Uniformen."
"die Universität, -en",Mein Sohn studiert an der Universität.
unten,"1. Wir wohnen im 3. Stock, meine Eltern unten im 1. Stock. 2. Sie ist mal kurz nach unten gegangen."
unter,1. Unter uns wohnt eine Familie mit drei Kindern. 2. Die CDs sind im Regal unter dem Fernseher.
unter-,Mein Pass ist im unteren Regal.
"unterbrechen, unterbricht, unterbrach, hat unterbrochen","1. Wir unterbrechen die Sendung für eine wichtige Nachricht. 2. Bitte unterbrich mich nicht, wenn ich spreche."
"(sich) unterhalten, unterhält, unterhielt, hat unterhalten",1. Wir haben uns über das Fußballspiel unterhalten. 2. Ich habe mich bei der Party sehr gut unterhalten.
"die Unterhaltung, -en",Wir wünschen Ihnen gute Unterhaltung.
"die Unterkunft, ¨-e",1. Ich komme drei Tage nach Hamburg und suche eine günstige Unterkunft. 2. Ist dieser Preis inklusive Unterkunft und Essen?
die Unterlagen (Pl.),Ich schicke Ihnen alle Unterlagen mit der Post zu.
"unterlassen, unterlässt, unterließ, hat unterlassen",Das Rauchen auf den Gängen ist zu unterlassen.
"unternehmen, unternimmt, unternahm, hat unternommen",Wollen wir heute Abend noch etwas unternehmen?
"der Unternehmer, -","Sie ist erfolgreiche Unternehmerin. die Unternehmerin, -nen"
"unterrichten, unterrichtet, unterrichtete, hat unterrichtet",Meine Frau unterrichtet Spanisch.
"der Unterricht, -e",Der Unterricht dauert von 17 bis 19 Uhr.
untersagt,"Es ist untersagt, hier zu rauchen."
"unterscheiden, unterscheidet, unterschied, hat unterschieden",Ihr seid euch sehr ähnlich. Auf dem Foto kann man euch beide nicht unterscheiden.
"der Unterschied, -e","Können Sie mir sagen, was der Unterschied ist? Welche Fahrkarte ist günstiger?"
unterschiedlich,"Mein Bruder und ich sind sehr unterschiedlich. Er interessiert sich für Mathematik, ich mich für Sprachen."
"unterschreiben, unterschreibt, unterschrieb, hat unterschrieben",Unterschreiben Sie bitte hier unten rechts.
"die Unterschrift, -en",Auf dem Schreiben fehlt die Unterschrift.
"unterstreichen, unterstreicht, unterstrich, hat unterstrichen",Wir sollen alle wichtigen Wörter unterstreichen.
"unterstützen, unterstützt, unterstützte, hat unterstützt","Sie unterstützen mich, wo sie nur können."
"die Unterstützung, -en",Ich nehme Ihre Unterstützung gern an.
"untersuchen, untersucht, untersuchte, hat untersucht",Sie sollten sich vom Arzt untersuchen lassen.
"die Untersuchung, -en",Ich habe morgen eine Untersuchung im Krankenhaus.
unterwegs,"1. Warte auf mich. Ich bin unterwegs und komme gleich. 2. Unterwegs können wir noch etwas essen. 3. Stell dir vor, der Brief war zwei Wochen unterwegs."
"die Urkunde, -n","Wenn wir das Spiel gewinnen, bekommen wir eine Urkunde."
"der Urlaub, -e (D, A) → CH: Ferien",Ich habe noch drei Tage Urlaub.
"die Ursache, -n",1. Kennt man schon die Unfallursache? 2. Vielen Dank! – Keine Ursache!
"verursachen, verursacht, verursachte, hat verursacht",Dieser Busfahrer verursachte den Unfall.
ursprünglich,Ursprünglich wollte ich in einem Restaurant arbeiten. Aber dann bin ich Busfahrerin geworden.
"das Urteil, -e",1. Dein Urteil ist für mich sehr wichtig. 2. Das Urteil des Gerichts erscheint mir zu hart.
"die Vase, -n",Hast du eine Vase für die Blumen?
"der Vater, ¨-",1. Mein Vater arbeitet in einem Restaurant. 2. Herr Müller ist Vater geworden.
vegetarisch,1. Ich mag kein Fleisch. Ich esse am liebsten vegetarisch. 2. Haben Sie auch vegetarische Gerichte?
"das Velo, -s (CH) → Fahrrad; D, A: Rad",1. Sie fährt jeden Morgen mit dem Velo zur Arbeit. 2. Am Sonntag fahren wir oft Velo.
"(sich) verabreden, verabredet, verabredete, hat verabredet",Wir haben uns mit Freunden verabredet. Wir wollen zusammen essen.
verabredet,"Tut mir leid, ich habe keine Zeit. Ich bin mit meiner Freundin verabredet."
"die Verabredung, -en",Ich habe um 15 Uhr eine Verabredung mit Klaus.
"(sich) verabschieden, verabschiedet, verabschiedete, hat verabschiedet",1. Ich wurde von meinen Freunden sehr nett verabschiedet. 2. Es ist schon 23 Uhr. Ich möchte mich verabschieden.
"der Abschied, -e",Der Abschied von meinen Freunden fiel mir schwer.
"(sich) verändern, verändert, veränderte, hat verändert",1. Das geht so nicht. Wir müssen die Organisation verändern. 2. Wir haben uns lange nicht gesehen. Aber du hast dich gar nicht verändert.
"die Veranstaltung, -en",Am Samstag ist unser Lokal geschlossen. Wir haben eine Veranstaltung.
verantwortlich,Sie sind für Ihre Kinder verantwortlich.
"die Verantwortung, -en",Sie tragen die Verantwortung für Ihre Kinder.
"(sich) verbessern, verbessert, verbesserte, hat verbessert",1. Ich habe mein Deutsch verbessert. 2. Meine Kinder haben sich in der Schule verbessert.
"verbieten, verbietet, verbot, hat verboten",Ich werde meinen Kindern das Rauchen verbieten.
"das Verbot, -e",Ich bin für das Verbot dieses neuen Videospiels.
verboten,In den meisten Restaurants ist Rauchen verboten.
"verbinden, verbindet, verband, hat verbunden",1. Wir müssen die Wunde sofort verbinden. 2. Sie sind falsch verbunden! Hier ist
"die Verbindung, -en",1. Die Verbindung ist sehr gut. Ich kann direkt mit diesem Zug fahren und muss nicht umsteigen. 2. Kannst du bitte lauter sprechen? Die Verbindung ist sehr schlecht.
"verbrauchen, verbraucht, verbrauchte, hat verbraucht",Wie viel Benzin verbraucht dein Auto?
"der Verbrecher, die Verbrecherin, -nen",Die Polizei hat den Verbrecher verhaftet.
"(sich) verbrennen, verbrennt, verbrannte, hat verbrannt",1. Ich werde alle Briefe verbrennen. 2. Der Herd war noch heiß. Ich habe mich verbrannt.
"verbringen, verbringt, verbrachte, hat verbracht",Wie haben Sie Ihren Urlaub verbracht?
der Verdacht,"1. Wer hat das Geld aus der Kasse genommen? – Ich weiß es nicht, aber ich habe einen Verdacht. 2. Wen haben Sie in Verdacht?"
verdächtig,1. Die Tür war nicht abgeschlossen. Das ist verdächtig. 2. Haben Sie etwas Verdächtiges gesehen?
"verdienen, verdient, verdiente, hat verdient",1. In diesem Beruf verdient man gut. 2. Er hat den Urlaub wirklich verdient.
"der Verein, -e",Ich bin schon seit 15 Jahren Mitglied in diesem Verein.
"vereinbaren, vereinbart, vereinbarte, hat vereinbart",Können wir einen Termin vereinbaren?
die Vergangenheit,In der Vergangenheit war das anders.
vergeblich,Ich habe vergeblich versucht dich anzurufen.
"vergessen, vergisst, vergaß, hat vergessen",1. Ich habe den Termin ganz vergessen. 2. Ich habe meinen Pass vergessen.
"vergleichen, vergleicht, verglich, hat verglichen",Vergleichen Sie die Angebote.
"der Vergleich, -e",1. Ein Vergleich ist schwer möglich. 2. Im Vergleich zum Wetter letzte Woche ist es heute warm.
"sich vergnügen, vergnügt sich, vergnügte sich, hat sich vergnügt",Auf der Party habe ich mich sehr vergnügt.
"das Vergnügen, -","1. Es ist ein Vergnügen, den Kindern beim Spielen zuzusehen. 2. Ich wünsche dir viel Vergnügen bei der Party!"
vergnügt,Er kam mit einem vergnügten Grinsen herein.
"vergrößern, vergrößert, vergrößerte, hat vergrößert",1. Können Sie das Foto vergrößern? 2. Wir wollen unser Geschäft vergrößern.
"verhaften, verhaftet, verhaftete, hat verhaftet",Die Polizei hat 23 Menschen verhaftet.
"sich verhalten, verhält sich, verhielt sich, hat sich verhalten",Der Mann hat sich uns gegenüber merkwürdig verhalten.
das Verhalten,Ich bewundere dein Verhalten in der schwierigen Situation.
"das Verhältnis, -se",Ich habe ein gutes Verhältnis zu meinen Eltern.
verheiratet,1. Mit wem sind Sie verheiratet? 2. Meine Eltern sind seit 30 Jahren verheiratet.
"verhindern, verhindert, verhinderte, hat verhindert",Wir konnten den Unfall nicht verhindern.
"verkaufen, verkauft, verkaufte, hat verkauft",Ich habe unser altes Auto verkauft.
"der Verkäufer, die Verkäuferin, -nen",Die Verkäuferin wird Ihnen gleich helfen.
der Verkehr,Morgens ist hier immer viel Verkehr.
"das Verkehrsmittel, -",Es gibt kaum Parkplätze. Sie sollten mit öffentlichen Verkehrsmitteln fahren.
"der Verlag, -e (A: ¨-e)",Von welchem Verlag ist dieses Buch?
"verlangen, verlangt, verlangte, hat verlangt","1. Jeden Tag Überstunden? Das können Sie nicht verlangen. 2. Wie viel verlangen Sie für das Auto? 3. Frau Müller, Sie werden am Telefon verlangt."
"verlängern, verlängert, verlängerte, hat verlängert",1. Ich muss meinen Pass verlängern lassen. 2. Die U-Bahn Linie U4 wird verlängert.
"verlassen, verlässt, verließ, hat verlassen",1. Ich habe die Party um 3 Uhr verlassen. 2. Du kannst dich auf mich verlassen. Ich helfe dir auf jeden Fall.
"sich verlaufen, verläuft sich, verlief sich, hat sich verlaufen",Gestern haben wir uns im Wald verlaufen. Wir haben erst eine Stunde später den richtigen Weg gefunden.
"(sich) verletzen, verletzt, verletzte, hat verletzt",1. Ich habe mich an der Hand verletzt. 2. Ich habe mir den Arm verletzt.
"die Verletzung, -en",Keine Angst. Die Verletzung ist nicht so schlimm.
"sich verlieben, verliebt sich, verliebte sich, hat sich verliebt",Ich habe mich verliebt.
verliebt,Ich bin in Francesco verliebt.
"verlieren, verliert, verlor, hat verloren",1. Ich habe meine Brieftasche verloren. 2. Jennifer hat ihre Stelle verloren. 3. Sie dürfen den Mut nicht verlieren. 4. Unsere Mannschaft hat 3:5 verloren.
"der Verlierer, -","Sie ist eine gute Verliererin. die Verliererin, -nen"
"der Verlust, -e",Der Verlust meiner Uhr ärgert mich sehr.
"vermeiden, vermeidet, vermied, hat vermieden","Der Arzt sagt, ich soll Stress vermeiden."
"vermieten, vermietet, vermietete, hat vermietet",1. Bei uns im Haus ist ein Zimmer zu vermieten. 2. Die Wohnung ist schon vermietet.
"der Vermieter, die Vermieterin, -nen","Unsere Vermieterin ist eine sehr nette, ältere Frau."
"die Vermietung, -en",Mit der Vermietung von Wohnungen kann man viel Geld verdienen.
"vermissen, vermisst, vermisste, hat vermisst",Ich vermisse meine Familie.
"die Vermittlung, -en",1. Du suchst ein Zimmer? Dann frag bei der Vermittlung am Bahnhof nach. 2. Rufen Sie die Vermittlung an und fragen Sie nach der Telefonnummer von Herrn Fischer.
"vermuten, vermutet, vermutete, hat vermutet","Ich vermute, sie wird heute nicht kommen."
vermutlich,Vermutlich sagt er die Wahrheit.
vernünftig,1. Seien Sie doch vernünftig! 2. Das ist ein ganz vernünftiger Vorschlag.
"verpacken, verpackt, verpackte, hat verpackt",Hast Du die Pakete gut verpackt?
"verpassen, verpasst, verpasste, hat verpasst",1. Ich habe den Zug verpasst. 2. Ich habe die 12-Uhr-Nachrichten verpasst.
"verpflegen, verpflegt, verpflegte, hat verpflegt",Wir werden hier sehr gut mit Essen verpflegt.
verpflichtet,"Sie sind verpflichtet, den Unfall zu melden."
"verraten, verrät, verriet, hat verraten","1. Wer hat dir das Geheimnis verraten? 2. Sein Blick verriet mir, dass er verletzt ist."
"verreisen, verreist, verreiste, ist verreist",Frau Dr. Müller ist zurzeit verreist.
verrückt,1. Bist du verrückt geworden?! 2. So eine verrückte Idee.
"die Versammlung, -en",Der Minister hielt bei der Versammlung eine Rede.
"versäumen, versäumt, versäumte, hat versäumt","Tut mir leid, ich habe die Anmeldefrist versäumt."
"verschieben, verschiebt, verschob, hat verschoben",Leider muss ich den Termin verschieben.
verschieden,1. Unsere beiden Kinder sind sehr verschieden. 2. Wir haben dieses Kleid in verschiedenen Farben.
"verschreiben, verschreibt, verschrieb, hat verschrieben",Die Ärztin hat mir Tabletten verschrieben.
"verschwinden, verschwindet, verschwand, ist verschwunden",Mein Ausweis ist verschwunden. Hast du ihn vielleicht gesehen?
"versichern, versichert, versicherte, hat versichert",1. Wollen Sie Ihr Gepäck versichern? 2. Wie sind Sie versichert?
"die Versichertenkarte, -n (D) → A: e-card",Haben Sie Ihre Versichertenkarte dabei?
"die Versicherung, -en",1. Sie sollten eine Versicherung für Ihr Gepäck abschließen. 2. Sie müssen den Unfall der Versicherung melden.
"die Verspätung, -en",Unser Zug hatte 10 Minuten Verspätung.
"versprechen, verspricht, versprach, hat versprochen","Meine Mutter hat mir versprochen, mich abzuholen."
verständlich,"Nach acht Stunden Schule haben die Kinder keine Lust mehr, die Hausaufgaben zu machen. Ich finde das verständlich."
das Verständnis,Wir bitten um Ihr Verständnis.
"(sich) verstecken, versteckt, versteckte, hat versteckt",1. Ich habe das Geld hinter dem Regal versteckt. 2. Die Kinder verstecken sich im Wald.
"(sich) verstehen, versteht, verstand, hat verstanden",1. Ich kann Sie kaum verstehen. Sprechen Sie bitte lauter. 2. Den Satz verstehe ich nicht. 3. Ich verstehe nichts von Computern. 4. Unsere beiden Kinder verstehen sich sehr gut.
